"_","Name","Name_Field__c","Is_Tooling__c"
"[Metadata_Definition__c]","CustomObjectBinding","","false"
"[Metadata_Definition__c]","ForecastingGroup","","false"
"[Metadata_Definition__c]","ForecastingSourceDefinition","","false"
"[Metadata_Definition__c]","ForecastingType","","false"
"[Metadata_Definition__c]","ForecastingTypeSource","","false"
"[Metadata_Definition__c]","FuelType","","false"
"[Metadata_Definition__c]","FuelTypeSustnUom","","false"
"[Metadata_Definition__c]","FunctionReference","","false"
"[Metadata_Definition__c]","FundraisingConfig","","false"
"[Metadata_Definition__c]","GenAiFunction","","false"
"[Metadata_Definition__c]","GenAiPlannerBundle","","false"
"[Metadata_Definition__c]","GenAiPlugin","","false"
"[Metadata_Definition__c]","GenAiPromptTemplate","","false"
"[Metadata_Definition__c]","GenAiPromptTemplateActv","","false"
"[Metadata_Definition__c]","GenComputingSummaryDef","","false"
"[Metadata_Definition__c]","GeneralConfigSettings","","false"
"[Metadata_Definition__c]","GenOpPlanEligibilityConfig","","false"
"[Metadata_Definition__c]","GeocodeSettings","","false"
"[Metadata_Definition__c]","GiftEntryGridTemplate","","false"
"[Metadata_Definition__c]","GlobalValueSetTranslation","","false"
"[Metadata_Definition__c]","GRCIntelligenceUddSettings","","false"
"[Metadata_Definition__c]","HerokuAppLinkSettings","","false"
"[Metadata_Definition__c]","Icon","","false"
"[Metadata_Definition__c]","IdentityProviderSettings","","false"
"[Metadata_Definition__c]","IdentityVerificationProcDef","","false"
"[Metadata_Definition__c]","IframeWhiteListUrlSettings","","false"
"[Metadata_Definition__c]","InboundCertificate","","false"
"[Metadata_Definition__c]","IncludeEstTaxInQuoteCPQSettings","","false"
"[Metadata_Definition__c]","IncludeEstTaxInQuoteSettings","","false"
"[Metadata_Definition__c]","IndustriesChannelPartnerInventorySettings","","false"
"[Metadata_Definition__c]","IndustriesConnectedServiceSettings","","false"
"[Metadata_Definition__c]","IndustriesConstraintsSettings","","false"
"[Metadata_Definition__c]","LifeSciConfigRecord","","false"
"[Metadata_Definition__c]","LightningTypeBundle","","false"
"[Metadata_Definition__c]","LiveChatAgentConfig","","false"
"[Metadata_Definition__c]","LiveChatButton","","false"
"[Metadata_Definition__c]","LiveChatDeployment","","false"
"[Metadata_Definition__c]","LiveMessageSettings","","false"
"[Metadata_Definition__c]","LocationUse","","false"
"[Metadata_Definition__c]","LogicSettings","","false"
"[Metadata_Definition__c]","LoyaltyProgramSetup","","false"
"[Metadata_Definition__c]","ManagedTopics","","false"
"[Metadata_Definition__c]","MapReportSettings","","false"
"[Metadata_Definition__c]","MapsAndLocationSettings","","false"
"[Metadata_Definition__c]","MarketingAppExtActivity","","false"
"[Metadata_Definition__c]","MarketingAppExtension","","false"
"[Metadata_Definition__c]","MarketSegmentDefinition","","false"
"[Metadata_Definition__c]","MatchingRules","","false"
"[Metadata_Definition__c]","MediaAdSalesSettings","","false"
"[Metadata_Definition__c]","MediaAgentSettings","","false"
"[Metadata_Definition__c]","MfgProgramTemplate","","false"
"[Metadata_Definition__c]","MktCalcInsightObjectDef","","false"
"[Metadata_Definition__c]","MktDataConnection","","false"
"[Metadata_Definition__c]","MktDataConnectionParam","","false"
"[Metadata_Definition__c]","MktDataConnectionSrcParam","","false"
"[Metadata_Definition__c]","MktDataTranObject","","false"
"[Metadata_Definition__c]","MlDomain","","false"
"[Metadata_Definition__c]","MobileSecurityAssignment","","false"
"[Metadata_Definition__c]","MobileSecurityPolicy","","false"
"[Metadata_Definition__c]","MobSecurityCertPinConfig","","false"
"[Metadata_Definition__c]","ModerationRule","","false"
"[Metadata_Definition__c]","NavigationMenu","","false"
"[Metadata_Definition__c]","Network","","false"
"[Metadata_Definition__c]","NetworkBranding","","false"
"[Metadata_Definition__c]","NotificationTypeConfig","","false"
"[Metadata_Definition__c]","OauthTokenExchangeHandler","","false"
"[Metadata_Definition__c]","ObjectHierarchyRelationship","","false"
"[Metadata_Definition__c]","ObjectMappingSettings","","false"
"[Metadata_Definition__c]","ObjectSourceTargetMap","","false"
"[Metadata_Definition__c]","ObjIntegProviderDefMapping","","false"
"[Metadata_Definition__c]","OcrSampleDocument","","false"
"[Metadata_Definition__c]","OcrTemplate","","false"
"[Metadata_Definition__c]","OmniChannelSettings","","false"
"[Metadata_Definition__c]","OmniExtTrackingDef","","false"
"[Metadata_Definition__c]","OmniIntegrationProcedure","","false"
"[Metadata_Definition__c]","OmniInteractionConfig","","false"
"[Metadata_Definition__c]","OmniStudioSettings","","false"
"[Metadata_Definition__c]","OmniSupervisorConfig","","false"
"[Metadata_Definition__c]","OmniTrackingGroup","","false"
"[Metadata_Definition__c]","OnboardingDataObjectGroup","","false"
"[Metadata_Definition__c]","OnlineSalesSettings","","false"
"[Metadata_Definition__c]","OptimizationSettings","","false"
"[Metadata_Definition__c]","ParticipantRole","","false"
"[Metadata_Definition__c]","PartyProfileDataObjectValidityDefinition","","false"
"[Metadata_Definition__c]","PaymentsSharingSettings","","false"
"[Metadata_Definition__c]","PaynowStarterUpgradeEnabledSettings","","false"
"[Metadata_Definition__c]","PersonAccountOwnerPowerUser","","false"
"[Metadata_Definition__c]","PicklistValue","","false"
"[Metadata_Definition__c]","PipelineInspMetricConfig","","false"
"[Metadata_Definition__c]","PlatformSlackSettings","","false"
"[Metadata_Definition__c]","PlatformWebIdeSettings","","false"
"[Metadata_Definition__c]","PolicyRuleDefinition","","false"
"[Metadata_Definition__c]","PolicyRuleDefinitionSet","","false"
"[Metadata_Definition__c]","PortalDelegablePermissionSet","","false"
"[Metadata_Definition__c]","PresenceDeclineReason","","false"
"[Metadata_Definition__c]","PresenceUserConfig","","false"
"[Metadata_Definition__c]","PricingActionParameters","","false"
"[Metadata_Definition__c]","PricingRecipe","","false"
"[Metadata_Definition__c]","PrmCoreSettings","","false"
"[Metadata_Definition__c]","ProcedureOutputResolution","","false"
"[Metadata_Definition__c]","ProcedurePlanDefinition","","false"
"[Metadata_Definition__c]","ProductAttrDisplayConfig","","false"
"[Metadata_Definition__c]","ProductAttributeSet","","false"
"[Metadata_Definition__c]","ProductCatalogManagementSettings","","false"
"[Metadata_Definition__c]","ProductConfiguratorSettings","","false"
"[Metadata_Definition__c]","ProductDiscoverySettings","","false"
"[Metadata_Definition__c]","ProductSpecificationRecType","","false"
"[Metadata_Definition__c]","ProductSpecificationType","","false"
"[Metadata_Definition__c]","ProfilePasswordPolicy","","false"
"[Metadata_Definition__c]","ProfileSessionSetting","","false"
